text,label
"Water the plants every three days, starting March 1st.",Reminder
Take medication at 8:30 AM daily.,Reminder
Bring the presentation slides for the meeting tomorrow at 9 AM.,Reminder
Water the office plants on Friday by 10 AM.,Reminder
Take the car for servicing every 5000 km or every 3 months.,Reminder
"Wish Maria on her retirement next week, March 10th.",Reminder
Backup important files every Friday night at 11:59 PM.,Reminder
Take out the trash every Tuesday evening before 7 PM.,Reminder
"Congratulate Tom on his promotion next week, March 12th.",Reminder
"Check the smoke detectors monthly, every 1st of the month.",Reminder
"Exercise for 30 minutes daily, at 6:30 AM.",Reminder
"RSVP for the dinner party invitation next month, April 1st.",Reminder
Schedule regular team meetings every Monday at 10 AM.,Reminder
"Don't forget to wish John on his birthday next month, April 20th.",Reminder
"Remember to review the security protocols monthly, on the 5th.",Reminder
Take the car for an oil change every 5000 miles or every 6 months.,Reminder
"Don't forget to RSVP for the wedding invitation next month, April 30th.",Reminder
"Remember to return the library books by Thursday, March 14th.",Reminder
"Take the car for servicing next week, March 13th.",Reminder
"Don't forget to wish Jack on his promotion next month, April 3rd.",Reminder
Remember to call the plumber to fix the leaky faucet by Friday.,Reminder
"Remind me to exercise for 30 minutes daily, at 7:00 AM.",Reminder
Pay the bills next Friday by 5 PM.,Reminder
"Renew the insurance policy next month, April 5th.",Reminder
"Attend the dentist appointment on Tuesday, March 12th.",Reminder
"Buy flowers for the anniversary next week, March 10th.",Reminder
"Schedule a doctor's appointment for next month, April 7th.",Reminder
"Submit the project report by the end of the week, March 15th.",Reminder
"Prepare for the presentation next Thursday, March 14th.",Reminder
"Arrange a meeting with the client next Monday, March 11th.",Reminder
"Renew the magazine subscription next month, April 6th.",Reminder
"Check the expiry date of the pantry items weekly, every Saturday.",Reminder
"File the tax returns by the deadline next month, April 15th.",Reminder
"Attend the parent-teacher meeting next Tuesday, March 12th.",Reminder
"Pay the utility bills before the due date, March 10th.",Reminder
"Send the thank-you notes after the event next week, March 15th.",Reminder
"Review the project milestones every Friday, starting March 8th.",Reminder
"Book flight tickets for the vacation next month, April 10th.",Reminder
"Arrange a carpool for the office commute tomorrow, March 9th.",Reminder
"Water the garden on alternate days, starting March 10th.",Reminder
"Renew the gym membership next month, April 5th.",Reminder
"Organize the wardrobe this weekend, March 9th-10th.",Reminder
"Plan the weekend getaway with family next month, April 12th-14th.",Reminder
"Update the antivirus software weekly, every Sunday.",Reminder
"Buy a gift for the colleague's baby shower next week, March 11th.",Reminder
"Donate clothes to the charity this Saturday, March 9th.",Reminder
"Schedule the annual health check-up next month, April 7th.",Reminder
"Review the investment portfolio quarterly, every 15th of January, April, July, October.",Reminder
"Book a table for the anniversary dinner next Friday, March 15th.",Reminder
"Set up the automated bill payments this month, March 10th.",Reminder
"Prepare for the job interview next week, March 11th-15th.",Reminder
"Renew the car registration next month, April 10th.",Reminder
"Clean the refrigerator every two weeks, starting March 10th.",Reminder
"Check the car tire pressure monthly, on the 1st of each month.",Reminder
"Update the passwords for online accounts quarterly, every 15th of January, April, July, October.",Reminder
"Arrange the meeting agenda for next Wednesday, March 13th.",Reminder
"Plan the weekend picnic with friends next month, April 13th-14th.",Reminder
"Wash the car on Sunday morning, March 10th.",Reminder
"Update the software applications weekly, every Saturday.",Reminder
"Sort out the paperwork for taxes next week, March 11th-15th.",Reminder
"Arrange for the pet grooming session next week, March 11th.",Reminder
"Check the email inbox for important messages daily, every morning.",Reminder
"Schedule a family dinner this Sunday, March 10th.",Reminder
"Review the monthly expenses and savings, every 1st of the month.",Reminder
"Prepare the presentation materials for the conference next month, April 8th-12th.",Reminder
"Arrange the transportation for the airport pickup next week, March 11th.",Reminder
"Update the contact information on the phone this weekend, March 9th-10th.",Reminder
"Set up the home office space for productivity next week, March 11th-15th.",Reminder
"Plan the menu for the dinner party next month, April 12th.",Reminder
"Check the weather forecast before planning outdoor activities, every morning.",Reminder
Review the progress on personal goals every Sunday evening.,Reminder
"Buy tickets for the theater show next Friday, March 15th.",Reminder
"Renew the subscription for the magazine next month, April 10th.",Reminder
"Arrange for the car maintenance service next week, March 11th.",Reminder
"Organize the files and folders on the computer this weekend, March 9th-10th.",Reminder
"Set reminders for upcoming appointments and deadlines, every morning.",Reminder
"Schedule time for self-care activities this week, March 10th-17th.",Reminder
"Check the mailbox for important mail daily, every evening.",Reminder
Finish the report by the end of the week.,Todo
Pay the bills before the due date.,Todo
Send out invitations for the party this weekend.,Todo
Update the company website with recent testimonials.,Todo
Clean up the storage room and organize supplies.,Todo
Prepare the monthly progress report for the team.,Todo
Revise the employee handbook and policies.,Todo
Conduct performance evaluations for the team members.,Todo
Research new software solutions for project management.,Todo
Develop a marketing plan for the upcoming campaign.,Todo
Review and update the training materials for new hires.,Todo
Implement a new file backup system for data security.,Todo
Organize team-building activities for the department.,Todo
Create a budget proposal for the next fiscal year.,Todo
Conduct market research for potential customers.,Todo
Develop a social media strategy for brand promotion.,Todo
Streamline the customer support ticketing system.,Todo
Enhance the user interface for the company website.,Todo
Analyze the competition and identify key trends.,Todo
Improve the onboarding process for new employees.,Todo
Create a content calendar for social media posts.,Todo
Implement a feedback system for customer satisfaction.,Todo
Research and implement employee wellness programs.,Todo
Optimize the supply chain for cost efficiency.,Todo
Develop a customer loyalty program.,Todo
Conduct training sessions on cybersecurity awareness.,Todo
Enhance the company's online presence through SEO.,Todo
Streamline the inventory management system.,Todo
Design a new logo for the company.,Todo
Improve internal communication channels.,Todo
Conduct a review of company policies and procedures.,Todo
Develop a new product roadmap.,Todo
Create templates for standard operating procedures.,Todo
Research and implement eco-friendly initiatives.,Todo
Conduct employee satisfaction surveys.,Todo
Organize team-building workshops.,Todo
Develop a customer feedback mechanism.,Todo
Create training materials for new software systems.,Todo
Review and update employee benefits packages.,Todo
Implement a system for performance tracking.,Todo
Develop a contingency plan for business continuity.,Todo
Organize community outreach programs.,Todo
Implement time management strategies for teams.,Todo
Review and update the company's code of conduct.,Todo
Develop a mentorship program for employees.,Todo
Conduct research on emerging market trends.,Todo
Update the company's website content.,Todo
Develop strategies for customer retention.,Todo
Create a knowledge base for customer support.,Todo
Conduct training on diversity and inclusion.,Todo
Enhance the company's social responsibility efforts.,Todo
Develop strategies for talent acquisition.,Todo
Review and update employee performance metrics.,Todo
Implement a rewards and recognition program.,Todo
Conduct a risk assessment for the company.,Todo
Develop a communication plan for crisis management.,Todo
Organize a team-building retreat.,Todo
Establish guidelines for remote work policies.,Todo
Create a knowledge sharing platform for teams.,Todo
Conduct market segmentation analysis.,Todo
Develop a disaster recovery plan.,Todo
Organize professional development workshops.,Todo
Implement a system for tracking customer feedback.,Todo
Review and update the employee performance review process.,Todo
Develop strategies for reducing operational costs.,Todo
Establish partnerships with industry influencers.,Todo
Create an employee recognition program.,Todo
Conduct training on conflict resolution.,Todo
Review and update company branding guidelines.,Todo
Develop strategies for increasing customer engagement.,Todo
Create a plan for workplace diversity initiatives.,Todo
Establish procedures for data privacy compliance.,Todo
Develop a roadmap for digital transformation.,Todo
Organize team-building activities for remote teams.,Todo
Develop guidelines for remote work security.,Todo
Implement a system for monitoring employee morale.,Todo
Conduct training on time management skills.,Todo
Review and update the company's mission statement.,Todo
Develop strategies for improving employee retention.,Todo
Establish protocols for crisis communication.,Todo
Create a framework for customer service excellence.,Todo
Conduct an audit of company policies and procedures.,Todo
Develop guidelines for social media engagement.,Todo
Establish best practices for project management.,Todo
Conduct training on remote team collaboration.,Todo
Review and update the company's privacy policy.,Todo
Develop strategies for building brand loyalty.,Todo
Establish guidelines for email communication.,Todo
Conduct market analysis for new product development.,Todo
Develop a plan for workplace safety initiatives.,Todo
Organize team-building activities for cross-functional teams.,Todo
Conduct training on stress management techniques.,Todo
Complete the tax filing by the end of the month.,Todo
Renew the domain registration before it expires next week.,Todo
Organize the office supply inventory by Friday.,Todo
Book flight tickets for the business trip next month.,Todo
Submit the quarterly financial report before the deadline.,Todo
Pay the annual subscription fee before it expires.,Todo
Update the project documentation by the end of the day.,Todo
Plan a family picnic for next Saturday afternoon.,Todo
Review the marketing campaign strategy by Monday.,Todo
Pay the rent and utilities before the end of the month.,Todo
Submit the monthly expense report by Friday.,Todo
Plan a weekend getaway to the mountains next month.,Todo
Update the website content before the launch next week.,Todo
Pay the credit card bill before the due date.,Todo
Submit the project status update by the end of the week.,Todo
Pay the internet bill before the due date.,Todo
Complete the online course before the deadline.,Todo
Plan a dinner party for friends next Saturday.,Todo
Submit the project progress report by the end of the day.,Todo
Pay the electricity bill before the due date.,Todo
Complete the online shopping before the sale ends.,Todo
Plan a family outing for next Saturday.,Todo
Review the proposal document before the meeting.,Todo
Pay the rent before the end of the month.,Todo
Submit the expense report by Friday.,Todo
Buy tickets for the concert next weekend.,Todo
Review the proposal document before the meeting.,Todo
Pay the rent before the end of the month.,Todo
Submit the expense report by Friday.,Todo
Buy tickets for the concert next weekend.,Todo
Review the proposal document before the meeting.,Todo
Pay the rent before the end of the month.,Todo
Submit the expense report by Friday.,Todo
Buy tickets for the concert next weekend.,Todo
Review the proposal document before the meeting.,Todo
Pay the rent before the end of the month.,Todo
Submit the expense report by Friday.,Todo
Buy tickets for the concert next weekend.,Todo
Weekend getaway to the countryside,Todo
New skincare routine for the summer,Todo
Potential career development workshops and seminars,Todo
Family picnic at the local park,Todo
Must-read novels for the book club meeting,Todo
Budget plan for home renovations,Todo
Transportation for the upcoming family reunion,Todo
Family photo album update,Todo
Hiking trails in the nearby mountains,Todo
Recommended movies for a movie marathon,Todo
Backyard garden layout for summer planting,Todo
Virtual game night with friends and family,Todo
Medical appointments for the family,Todo
Volunteering opportunities,Todo
Essential camping gear for the trip,Todo
Family reunion planning for the upcoming holiday weekend,Todo
Local farmer's markets for fresh produce options,Todo
Best practices for home composting,Todo
Neighborhood cleanup initiative,Todo
Charity fundraiser event,Todo
Weekly meal plan with healthy recipes,Todo
Home workout schedule,Todo
Personalized study space for productivity,Todo
Themed dinner party for friends,Todo
Tickets for a cultural event,Todo
Declutter the home office space,Todo
Budget and itinerary for a road trip adventure,Todo
Pet care during travel plans,Todo
DIY home decor projects,Todo
Eco-friendly lifestyle changes,Todo
"Weekend getaway to explore the scenic countryside, staying in a cozy cabin surrounded by nature and hiking trails",Todo
"Research and develop a comprehensive skincare regimen tailored for the summer season, focusing on sun protection and hydration",Todo
"Explore opportunities for professional growth through attending career development workshops, networking events, and online seminars",Todo
"Plan and coordinate a delightful family picnic at the picturesque local park, including picnic baskets, blankets, and outdoor games",Todo
"Curate a diverse selection of must-read novels for the upcoming book club meeting, catering to different genres and interests",Todo
"Create a detailed budget plan for home renovations, including estimates for materials, labor costs, and project timelines",Todo
"Coordinate transportation arrangements for the upcoming family reunion, considering travel preferences and logistical convenience",Todo
"Organize and update the family photo album, including sorting, labeling, and preserving cherished memories",Todo
"Explore scenic hiking trails in the nearby mountains, researching difficulty levels, trail lengths, and breathtaking viewpoints",Todo
"Compile a curated list of recommended movies for a marathon viewing session, featuring diverse genres and acclaimed classics",Todo
"Design and layout the backyard garden for summer planting, considering sunlight exposure, soil quality, and plant varieties",Todo
"Coordinate and plan a fun-filled virtual game night with friends and family, featuring interactive games and digital challenges",Todo
"Schedule essential medical appointments for the family, including routine check-ups, vaccinations, and specialist consultations",Todo
"Explore volunteering opportunities in the community, ranging from local charities to environmental conservation projects",Todo
"Gather and organize essential camping gear for the upcoming outdoor adventure, ensuring safety, comfort, and convenience",Todo
"Plan and organize a memorable family reunion for the upcoming holiday weekend, including activities, accommodations, and meals",Todo
"Explore local farmer's markets for fresh produce options, including seasonal fruits, vegetables, and artisanal goods",Todo
"Research the best practices for home composting, including compost bin setups, compostable materials, and maintenance tips",Todo
"Organize a neighborhood cleanup initiative, mobilizing community members to beautify and preserve local environments",Todo
"Coordinate and plan a successful charity fundraiser event, including fundraising goals, event logistics, and volunteer recruitment",Todo
"Develop a weekly meal plan with healthy recipes, incorporating nutritional balance, variety, and culinary creativity",Todo
"Design a personalized study space for productivity and focus, including ergonomic furniture, adequate lighting, and inspirational decor",Todo
"Plan and prepare a themed dinner party for friends and family, featuring gourmet dishes, themed decorations, and lively entertainment",Todo
"Research and book tickets for a cultural event, such as a concert, theater performance, or art exhibition, for a memorable experience",Todo
"Declutter the home office space, organizing paperwork, optimizing storage solutions, and creating a conducive work environment",Todo
"Create a comprehensive budget and itinerary for a road trip adventure, mapping out destinations, accommodations, and sightseeing stops",Todo
"Arrange and coordinate pet care during travel plans, including pet accommodations, feeding schedules, and veterinary contacts",Todo
"Embark on creative DIY home decor projects, including crafting, upcycling, and decorating to personalize living spaces",Todo
"Explore eco-friendly lifestyle changes, such as sustainable practices, zero-waste living, and energy-efficient solutions",Todo
"Research and compare productivity tools like Trello, Asana, and Todoist for task management",Todo
"Organize desk/workspace: Declutter drawers, file documents, and set up a system for better organization",Todo
"Read ""Atomic Habits"" by James Clear for insights on personal development and habit formation",Todo
"Plan next week's meals: Create a meal plan including breakfast, lunch, and dinner for each day",Todo
Set up a budget spreadsheet using Google Sheets or Excel to track expenses and savings,Todo
Research and enroll in an online course for project management skills enhancement,Todo
Attend a webinar on time management techniques and strategies for increased productivity,Todo
Explore meditation apps like Headspace and Calm for stress relief and mindfulness practice,Todo
Create a vision board to visualize and manifest personal and professional goals,Todo
Explore and experiment with different journaling techniques for self-reflection and gratitude practice,Todo
"Schedule a weekly review session to reflect on accomplishments, challenges, and areas for improvement",Todo
Research and implement a morning routine for increased energy and productivity throughout the day,Todo
Organize digital files and folders on the computer for better accessibility and workflow efficiency,Todo
Create a vision statement outlining long-term aspirations and objectives in personal and professional life,Todo
Explore and enroll in online courses for skill development and career advancement opportunities,Todo
Plan and prepare healthy snacks and meals for better nutrition and energy levels throughout the day,Todo
Explore and experiment with different productivity techniques such as the Pomodoro Technique or time blocking,Todo
Set up a dedicated workspace at home with ergonomic furniture and proper lighting for enhanced comfort and focus,Todo
Research and implement a digital detox plan to reduce screen time and promote mental well-being,Todo
Create a gratitude journal to cultivate a positive mindset and appreciation for life's blessings,Todo
Explore and practice mindfulness and meditation techniques for stress reduction and improved mental clarity,Todo